iter	Passed	Remaining
403	11268	16623
404	11293	16592
405	11319	16560
406	11344	16529
407	11370	16498
408	11399	16471
409	11424	16440
410	11460	16424
411	11487	16394
412	11515	16366
413	11542	16337
414	11568	16307
415	11594	16277
416	11620	16245
417	11648	16218
418	11681	16197
419	11707	16167
420	11735	16139
421	11761	16109
422	11789	16081
423	11815	16051
424	11841	16021
425	11868	15991
426	11903	15973
427	11933	15948
428	11959	15918
429	11988	15892
430	12015	15862
431	12045	15837
432	12075	15812
433	12108	15791
434	12133	15759
435	12160	15730
436	12189	15703
437	12214	15672
438	12240	15642
439	12266	15611
440	12291	15580
441	12323	15557
442	12348	15526
443	12374	15495
444	12402	15468
445	12428	15438
446	12454	15407
447	12480	15378
448	12506	15347
449	12540	15327
450	12566	15297
451	12597	15273
452	12624	15244
453	12652	15216
454	12679	15187
455	12706	15158
456	12733	15129
457	12770	15112
458	12796	15082
459	12822	15052
460	12848	15022
461	12874	14991
462	12904	14967
463	12942	14950
464	12976	14929
465	13002	14900
466	13034	14876
467	13063	14849
468	13090	14820
469	13117	14791
470	13143	14762
471	13177	14741
472	13203	14710
473	13231	14683
474	13257	14653
475	13283	14622
476	13308	14591
477	13333	14561
478	13359	14530
479	13392	14508
480	13422	14483
481	13448	14453
482	13476	14425
483	13504	14397
484	13531	14368
485	13558	14339
486	13587	14312
487	13619	14288
488	13645	14259
489	13672	14230
490	13698	14200
491	13724	14170
492	13750	14140
493	13775	14110
494	13807	14086
495	13832	14056
496	13858	14025
497	13883	13995
498	13909	13965
499	13937	13937
500	13964	13908
501	13995	13884
502	14032	13864
503	14057	13834
504	14082	13803
505	14108	13773
506	14133	13743
507	14159	13713
508	14185	13683
509	14211	13653
510	14248	13634
511	14274	13605
512	14301	13576
513	14329	13548
514	14360	13523
515	14388	13495
516	14418	13470
517	14459	13454
518	14487	13426
519	14513	13397
520	14540	13368
521	14567	13339
522	14593	13310
523	14621	13282
524	14656	13260
525	14683	13231
526	14709	13202
527	14735	13172
528	14760	13142
529	14786	13112
530	14812	13082
531	14840	13054
532	14873	13031
533	14899	13002
534	14925	12972
535	14954	12945
536	14984	12919
537	15009	12889
538	15037	12860
539	15063	12831
540	15099	12810
541	15125	12781
542	15151	12751
543	15176	12721
544	15202	12692
545	15228	12662
546	15257	12635
547	15283	12605
548	15316	12582
549	15344	12554
550	15371	12525
551	15397	12496
552	15424	12467
553	15450	12438
554	15480	12411
555	15507	12383
556	15544	12362
557	15573	12335
558	15599	12306
559	15626	12277
560	15652	12248
561	15678	12219
562	15704	12190
563	15730	12160
564	15767	12139
565	15793	12109
566	15819	12080
567	15846	12052
568	15872	12023
569	15898	11993
570	15924	11964
571	15957	11940
572	15990	11916
573	16015	11886
574	16041	11856
575	16067	11827
576	16096	11800
577	16123	11771
578	16149	11742
579	16176	11713
580	16209	11690
581	16237	11661
582	16268	11636
583	16298	11609
584	16325	11581
585	16354	11554
586	16381	11525
587	16416	11502
588	16445	11475
589	16471	11446
590	16498	11417
591	16525	11388
592	16551	11359
593	16576	11330
594	16602	11300
595	16638	11278
596	16665	11249
597	16692	11221
598	16718	11192
599	16744	11163
600	16771	11134
601	16796	11104
602	16830	11080
603	16866	11058
604	16896	11031
605	16931	11008
606	16957	10978
607	16983	10949
608	17010	10921
609	17039	10894
610	17069	10867
611	17100	10841
612	17126	10812
613	17153	10783
614	17179	10754
615	17206	10726
616	17233	10697
617	17263	10671
618	17301	10649
619	17328	10620
620	17355	10592
621	17382	10563
622	17408	10534
623	17434	10505
624	17463	10478
625	17489	10449
626	17525	10425
627	17552	10397
628	17578	10367
629	17604	10338
630	17630	10309
631	17655	10280
632	17682	10251
633	17712	10225
634	17746	10200
635	17772	10171
636	17800	10143
637	17827	10115
638	17853	10086
639	17880	10057
640	17914	10033
641	17944	10006
642	17976	9980
643	18003	9952
644	18029	9923
645	18056	9894
646	18082	9865
647	18108	9836
648	18138	9809
649	18175	9786
650	18202	9758
651	18229	9729
652	18256	9701
653	18281	9672
654	18307	9642
655	18335	9614
656	18361	9585
657	18395	9561
658	18422	9532
659	18448	9503
660	18474	9474
661	18500	9445
662	18525	9416
663	18556	9389
664	18581	9360
665	18614	9335
666	18640	9306
667	18666	9277
668	18691	9248
669	18717	9219
670	18746	9191
671	18775	9164
672	18802	9135
673	18838	9111
674	18864	9083
675	18898	9057
676	18924	9029
677	18951	9000
678	18978	8971
679	19006	8944
680	19032	8915
681	19064	8889
682	19091	8860
683	19116	8831
684	19142	8802
685	19167	8773
686	19198	8746
687	19227	8719
688	19254	8691
689	19292	8667
690	19320	8639
691	19346	8610
692	19372	8582
693	19400	8553
694	19426	8525
695	19459	8499
696	19486	8471
697	19520	8446
698	19548	8417
699	19574	8388
700	19599	8359
701	19625	8330
702	19651	8302
703	19677	8273
704	19712	8248
705	19739	8220
706	19765	8191
707	19791	8162
708	19818	8134
709	19847	8106
710	19877	8079
711	19903	8051
712	19932	8023
713	19959	7994
714	19986	7966
715	20014	7938
716	20040	7909
717	20065	7881
718	20091	7852
719	20126	7826
720	20153	7798
721	20178	7769
722	20207	7741
723	20233	7713
724	20259	7684
725	20284	7655
726	20310	7626
727	20343	7600
728	20370	7572
729	20399	7545
730	20426	7516
731	20453	7488
732	20479	7459
733	20505	7431
734	20531	7402
735	20567	7377
736	20593	7348
737	20621	7320
738	20649	7293
739	20676	7264
740	20704	7236
741	20730	7208
742	20758	7180
743	20793	7154
744	20829	7129
745	20855	7100
746	20881	7072
747	20906	7043
748	20932	7014
749	20960	6986
750	20987	6958
751	21015	6930
752	21042	6902
753	21067	6873
754	21095	6845
755	21122	6817
756	21149	6788
757	21178	6761
758	21213	6735
759	21239	6707
760	21266	6678
761	21293	6650
762	21319	6622
763	21345	6593
764	21371	6565
765	21397	6536
766	21430	6510
767	21457	6481
768	21486	6454
769	21512	6425
770	21539	6397
771	21568	6369
772	21597	6342
773	21623	6313
774	21655	6287
775	21683	6259
776	21712	6231
777	21739	6203
778	21768	6175
779	21802	6149
780	21837	6123
781	21863	6095
782	21890	6066
783	21916	6038
784	21944	6010
785	21970	5981
786	21995	5953
787	22021	5924
788	22056	5898
789	22082	5869
790	22111	5842
791	22137	5813
792	22164	5785
793	22190	5757
794	22216	5728
795	22242	5700
796	22275	5673
797	22304	5646
798	22331	5617
799	22357	5589
800	22383	5560
801	22409	5532
802	22435	5504
803	22461	5475
804	22499	5450
805	22527	5422
806	22556	5394
807	22583	5366
808	22609	5337
809	22636	5309
810	22663	5281
811	22699	5255
812	22733	5228
813	22759	5200
814	22789	5173
815	22816	5144
816	22843	5116
817	22870	5088
818	22905	5062
819	22932	5033
820	22958	5005
821	22989	4978
822	23015	4949
823	23041	4921
824	23067	4893
825	23094	4864
826	23127	4837
827	23156	4810
828	23181	4781
829	23207	4753
830	23233	4724
831	23259	4696
832	23287	4668
833	23313	4640
834	23351	4614
835	23377	4585
836	23402	4557
837	23428	4529
838	23454	4500
839	23480	4472
840	23507	4444
841	23533	4416
842	23565	4388
843	23592	4360
844	23618	4332
845	23644	4304
846	23671	4275
847	23704	4248
848	23730	4220
849	23756	4192
850	23788	4165
851	23818	4137
852	23846	4109
853	23872	4081
854	23898	4052
855	23924	4024
856	23956	3997
857	23981	3969
858	24020	3942
859	24047	3914
860	24073	3886
861	24100	3858
862	24128	3830
863	24156	3802
864	24188	3775
865	24215	3746
866	24242	3718
867	24268	3690
868	24294	3662
869	24320	3634
870	24346	3605
871	24372	3577
872	24400	3549
873	24433	3522
874	24461	3494
875	24487	3466
876	24513	3438
877	24539	3409
878	24565	3381
879	24591	3353
880	24618	3325
881	24652	3298
882	24687	3271
883	24714	3243
884	24741	3214
885	24767	3186
886	24793	3158
887	24823	3130
888	24850	3102
889	24884	3075
890	24912	3047
891	24939	3019
892	24966	2991
893	24993	2963
894	25021	2935
895	25048	2907
896	25086	2880
897	25113	2852
898	25140	2824
899	25167	2796
900	25193	2768
901	25219	2740
902	25246	2711
903	25273	2683
904	25309	2656
905	25335	2628
906	25360	2600
907	25386	2572
908	25414	2544
909	25440	2516
910	25465	2487
911	25491	2459
912	25525	2432
913	25551	2404
914	25578	2376
915	25604	2347
916	25636	2320
917	25669	2292
918	25698	2265
919	25726	2237
920	25757	2209
921	25783	2181
922	25809	2153
923	25837	2125
924	25863	2097
925	25892	2069
926	25918	2041
927	25950	2013
928	25976	1985
929	26005	1957
930	26031	1929
931	26057	1901
932	26083	1873
933	26108	1844
934	26133	1816
935	26171	1789
936	26200	1761
937	26229	1733
938	26254	1705
939	26279	1677
940	26306	1649
941	26332	1621
942	26359	1593
943	26397	1565
944	26426	1538
945	26453	1510
946	26481	1482
947	26507	1454
948	26534	1425
949	26562	1398
950	26588	1369
951	26622	1342
952	26655	1314
953	26687	1286
954	26714	1258
955	26741	1230
956	26767	1202
957	26794	1174
958	26829	1147
959	26857	1119
960	26883	1091
961	26909	1062
962	26937	1034
963	26962	1006
964	26988	978
965	27017	950
966	27054	923
967	27081	895
968	27108	867
969	27134	839
970	27160	811
971	27187	783
972	27216	755
973	27242	727
974	27276	699
975	27303	671
976	27330	643
977	27357	615
978	27385	587
979	27412	559
980	27437	531
981	27463	503
982	27497	475
983	27522	447
984	27548	419
985	27574	391
986	27600	363
987	27639	335
988	27665	307
989	27693	279
990	27721	251
991	27748	223
992	27779	195
993	27807	167
994	27835	139
995	27861	111
996	27889	83
997	27930	55
998	27957	27
999	27983	0
